Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513986577,0.0033692852,45.95 ,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986650,0.0033708035501817   ,45.715,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986721,0.0033571225437306   ,46.053,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986793,0.0033545530997548   ,46.184,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986872,0.0033621101932784   ,46.241,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986941,0.003355616,45.912,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987012,0.0033548976,46.17 ,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987080,0.0033719258,46.448,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987150,0.003367765,46.559,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987222,0.003364654757616    ,46.568,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987291,0.0033719517455417   ,46.667,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987362,0.0033840243,46.984,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987431,0.0033831007467537   ,46.971,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987501,0.0033776978513851   ,47.074,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987572,0.0033746625,47.471,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513987641,0.0033736329,47.503,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905      ,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
